%time Wind Power_wind
0 12.4843288564 0
1 12.4843288564 8035.26807789
2 12.4843288564 7821.66388682
3 12.4843288564 7496.6331967
4 12.4843288564 7412.28359592
5 12.4843288564 7649.37028533
6 12.4843288564 7944.97082751
7 12.4843288564 7950.3678248
8 12.4843288564 7704.77541295
9 12.4843288564 7493.61380325
10 12.4843288564 7519.79014291
11 12.4843288564 7752.38147261
12 12.4843288564 7931.61052428
13 12.4843288564 7862.55878616
14 12.4843288564 7652.63262404
15 12.4843288564 7526.01374928
16 12.4843288564 7601.78321251
17 12.4843288564 7797.12020828
18 12.4843288564 7894.29383805
19 12.4843288564 7797.70763961
20 12.4843288564 7631.14116153
21 12.4843288564 7565.93342376
22 12.4843288564 7661.5240751
23 12.4843288564 7812.98891166
24 12.4843288564 7853.5153945
25 12.4843288564 7751.36315688
26 12.4843288564 7626.73472943
27 12.4843288564 7605.24888711
28 12.4843288564 7703.28257864
29 12.4843288564 7812.79023026
30 12.4843288564 7815.76536959
31 12.4843288564 7719.95139942
32 12.4843288564 7632.61644508
33 12.4843288564 7640.44888197
34 12.4843288564 7730.47688935
35 12.4843288564 7803.61317725
36 12.4843288564 7783.58432981
37 12.4843288564 7700.45596638
38 12.4843288564 7644.32355709
39 12.4843288564 7669.83772961
40 12.4843288564 7746.24543452
41 12.4843288564 7790.03882083
42 12.4843288564 7757.82513309
43 12.4843288564 7690.12146906
44 12.4843288564 7658.64013557
45 12.4843288564 7692.86310863
46 12.4843288564 7753.51676887
47 12.4843288564 7775.11575594
48 12.4843288564 7738.4035645
49 12.4843288564 7686.45666767
50 12.4843288564 7673.29914138
51 12.4843288564 7709.76129864
52 12.4843288564 7754.8823536
53 12.4843288564 7760.78545715
54 12.4843288564 7724.69405388
55 12.4843288564 7687.30842698
56 12.4843288564 7686.82677268
57 12.4843288564 7721.25828105
58 12.4843288564 7752.49115422
59 12.4843288564 7748.16638894
60 12.4843288564 7715.79356264
61 12.4843288564 7690.91397698
62 12.4843288564 7698.39324476
63 12.4843288564 7728.32102849
64 12.4843288564 7748.01612259
65 12.4843288564 7737.78176893
66 12.4843288564 7710.70500263
67 12.4843288564 7695.91217535
68 12.4843288564 7707.65843349
69 12.4843288564 7731.97244529
70 12.4843288564 7742.67956335
71 12.4843288564 7729.7458006
72 12.4843288564 7708.45995683
73 12.4843288564 7701.31911656
74 12.4843288564 7714.62496821
75 12.4843288564 7733.16991083
76 12.4843288564 7737.3128048
77 12.4843288564 7723.91184899
78 12.4843288564 7708.19395923
79 12.4843288564 7706.47969801
80 12.4843288564 7719.5107648
81 12.4843288564 7732.7373649
82 12.4843288564 7732.43002037
83 12.4843288564 7719.98585146
84 12.4843288564 7709.18542281
85 12.4843288564 7711.00682701
86 12.4843288564 7722.64739067
87 12.4843288564 7731.33734927
88 12.4843288564 7728.30297694
89 12.4843288564 7717.60921159
90 12.4843288564 7710.86789998
91 12.4843288564 7714.71789228
92 12.4843288564 7724.40539912
93 12.4843288564 7729.46996368
94 12.4843288564 7725.02913736
95 12.4843288564 7716.41595317
96 12.4843288564 7712.82405616
97 12.4843288564 7717.5753895
98 12.4843288564 7725.14420147
99 12.4843288564 7727.48801705
100 12.4843288564 7722.58943208
101 12.4843288564 7716.0690021
102 12.4843288564 7714.76837471
103 12.4843288564 7719.63587563
104 12.4843288564 7725.18219176
105 12.4843288564 7725.62037877
106 12.4843288564 7720.89449553
107 12.4843288564 7716.28025725
108 12.4843288564 7716.52418084
109 12.4843288564 7721.00912251
110 12.4843288564 7724.78229072
111 12.4843288564 7723.99800716
112 12.4843288564 7719.81966846
113 12.4843288564 7716.81870226
114 12.4843288564 7717.99914306
115 12.4843288564 7721.82762532
116 12.4843288564 7724.1483488
117 12.4843288564 7722.67912739
118 12.4843288564 7719.22992375
119 12.4843288564 7717.51026092
120 12.4843288564 7719.1620812
121 12.4843288564 7722.22551411
122 12.4843288564 7723.42853875
123 12.4843288564 7721.67153117
124 12.4843288564 7718.99629939
125 12.4843288564 7718.23246729
